Epoch,Train Loss,Val Loss,Val F1 Score,Val threshold
1,0.32244296917960436,0.2774787492774151,0.7349952120594322,0.5674027144306838
2,0.29029654561768753,0.26237535821618857,0.7496666563304288,0.5827690134144793
3,0.2797574963130004,0.2545506887965732,0.7559318759859631,0.5487478333290178
4,0.27316233857444555,0.2513365854543668,0.7546206148051202,0.5735364767036052
5,0.2680537830289656,0.24537050392892626,0.7608135942327497,0.5784369622818147
6,0.2643606766670872,0.24151669704803713,0.7691652749124014,0.509504972684263
7,0.260429605348454,0.2406235512484003,0.7654296355413673,0.5113075574239094
8,0.25629242772047117,0.238629885431793,0.7732017588024033,0.4917090017386157
9,0.25450190151414126,0.23898019351893002,0.7683517894398972,0.562821753097303
10,0.25333121654976065,0.2345115092617494,0.773473450605398,0.533690333366394
11,0.2505443733071041,0.23615434420881448,0.7709277132164665,0.5462525884310405
12,0.2487923260910291,0.2327357326392774,0.7781941412232396,0.5415635434063999
13,0.24649763804800967,0.23121724346721614,0.7740910122928222,0.5758153850382025
14,0.24436928825034598,0.2289747510243345,0.7812230263594715,0.5349953969319661
15,0.24433348410659367,0.23203563221074916,0.7755904222214943,0.5518029819835316
16,0.24018015256305678,0.22983209098930713,0.7778947704285122,0.5912964127280496
17,0.23765747316058364,0.22625860337305953,0.7829662065046629,0.5302892682528255
18,0.23354088830327874,0.2233298618208479,0.7844682048396173,0.5570159753163656
19,0.23064067642739478,0.22160732608150552,0.7861024317348186,0.5104123630909004
20,0.22858663706492025,0.21784909359282917,0.7896751465058772,0.5335048689986721
21,0.22583836616494696,0.21908719879057673,0.7915307277448566,0.5420722564061482
22,0.22400108790003098,0.21584432834276446,0.7956690915242768,0.5227662818600433
23,0.22095065195791547,0.21363698470371742,0.7959543850122183,0.5129173259542447
24,0.21828215134200193,0.214751526851345,0.7965929565929566,0.5669454914150815
25,0.2160954251357004,0.21213497276659365,0.798298664185552,0.5661280949910482
26,0.21594551772795106,0.212048786105933,0.7972813038920638,0.5348406560493238
27,0.21372980044947731,0.21040951791736814,0.7987105779136618,0.572309262824781
28,0.20997409082191773,0.20750399775527142,0.7989014761414349,0.5405765085509329
29,0.20729896848928844,0.20871098394747134,0.8054893802637318,0.5440861287743154
30,0.20667683768216036,0.2074571031111258,0.8020626200667318,0.5594356854756674
31,0.2048523509896957,0.2045619667818149,0.8038041087081599,0.5595891403429436
32,0.2038799397488858,0.207705938498731,0.8040592761853557,0.5607527976084237
33,0.20214500642837363,0.20457485207804926,0.8061380034551675,0.5664163653296653
34,0.1995519960814334,0.20562101562541943,0.8056637401808701,0.6075775081461127
35,0.1982078271131989,0.2051735805278575,0.8084397186760441,0.5798220321385548
36,0.1975670264897335,0.2031905893926267,0.8107059217129474,0.5960009477355264
37,0.19595909287743535,0.20501377944041183,0.8066666666666666,0.5531682968139648
38,0.19448340203322417,0.20553094990275525,0.8084019492522265,0.5886321609670465
39,0.19250386181875323,0.20252334105747719,0.8095400108873163,0.5714807775285509
40,0.19060573221380264,0.20215388856552266,0.8064461522835765,0.598656627866957
41,0.19003222625588131,0.20031892411686755,0.8089812107156062,0.5910717658322268
42,0.18816807334163793,0.2042925787606725,0.8110744802529772,0.5867685982675264
43,0.1869785831822853,0.2013736885316946,0.8102712287384252,0.6184666837104644
44,0.18639009127098335,0.20445749115336825,0.8078672644565893,0.6197809089313854
45,0.1839733379529723,0.20247181753317514,0.8095617001525098,0.6201937234762943
46,0.18331785655049848,0.2045911709881491,0.8047111686012868,0.5849209939590608
47,0.1812679858847431,0.2024104503431806,0.8053841459279854,0.6082367343131942
48,0.18134533587499713,0.19974235459058373,0.8117453163364838,0.5863608446988193
49,0.17936816075310358,0.20394013159804875,0.8049024179044828,0.6202394492698439
50,0.17732143317554014,0.2039981426464187,0.8081756756756757,0.5814952741969716
