Epoch,Train Loss,Val Loss,Val F1 Score,Val threshold
1,0.6362498968768519,0.5457060073635408,0.7337213032122073,1.3508005726217018
2,0.5638203334979055,0.5227350683084556,0.7421806853582554,1.3098362501378238
3,0.5368684062952074,0.5134895249669041,0.7473548960200505,1.2719156892800874
4,0.5195907436151208,0.5000748011682715,0.7530831056861785,1.270817730915124
5,0.5064161246317952,0.4918383737759931,0.7575242083224287,1.1918330888329733
6,0.4974294570863674,0.4977477565407753,0.7526752512868812,1.2082194334862753
7,0.48835593902979374,0.4880313788141523,0.7596725249715514,1.2721845846291133
8,0.4800893322237921,0.4831517558278782,0.7618633700341253,1.2317287069274998
9,0.47337990920981815,0.4870526101440191,0.759221955425201,1.2302012075535937
10,0.4657666245764366,0.4811367714511497,0.7630246079181799,1.212117479810717
11,0.4608445163273868,0.4765947318768927,0.7631549241263647,1.2316161170608826
12,0.45340771222740484,0.4757891060518367,0.7627208395513407,1.232545871414583
13,0.4506057951074796,0.4739016986318997,0.7645950434338273,1.25066352075015
14,0.4436635543594497,0.4798527783049004,0.7609554741372414,1.2507852971332731
15,0.44296482987790803,0.4745110347867012,0.764885447125735,1.2520181597264302
16,0.43152053046055794,0.4689877001302583,0.7669065660568783,1.2700438025329444
17,0.42257419093411974,0.4672590172184365,0.7665452882872585,1.2101740323465824
18,0.4174766615922241,0.460918551576989,0.7710851181025824,1.2304124011366504
19,0.4152671340541794,0.4663695945803608,0.7687133131741077,1.2321393175680904
20,0.4122553914429749,0.4644281407818198,0.7691055353380578,1.250826495502711
21,0.410163849094318,0.4611620070146663,0.7691870665886874,1.1510791731159384
22,0.4046716570569678,0.45499777600967456,0.7737552919208667,1.2319128961829149
23,0.40130854798103005,0.46162922627159525,0.7708637303788741,1.25204497711225
24,0.39873678473697927,0.45822323366467443,0.7730736102829127,1.168976942669939
25,0.3952372333030428,0.46434392992939266,0.7689349498109764,1.2128558623054149
26,0.3948400134402983,0.45828912274113726,0.7738520491004741,1.2314399958992697
27,0.3917719465735989,0.45843090023845434,0.7740606460118655,1.191410044528752
28,0.38732219403854135,0.45626860444567036,0.7730304189465631,1.1708659069175182
29,0.3847971995292245,0.461072275548109,0.7709320179020613,1.2089320882936259
30,0.38427223304291047,0.4542992486219321,0.7750559022794781,1.1699160796908123
